id	contextlevel	instanceid	path	depth
1	10	0	/1	1
2	50	1	/1/2	2
3	40	1	/1/3	2
4	30	1	/1/4	2
5	30	2	/1/5	2
6	80	1	/1/6	2
7	80	2	/1/7	2
8	80	3	/1/8	2
9	80	4	/1/9	2
10	80	5	/1/10	2
11	80	6	/1/11	2
12	80	7	/1/12	2
13	80	8	/1/13	2
14	80	9	/1/5/14	3
15	80	10	/1/5/15	3
16	80	11	/1/5/16	3
17	80	12	/1/5/17	3
18	80	13	/1/5/18	3
19	80	14	/1/5/19	3
20	80	15	/1/5/20	3
21	50	2	/1/3/21	3
22	70	1	/1/3/21/22	4
23	30	3	/1/23	2
24	80	16	/1/23/24	3
25	80	17	/1/23/25	3
26	80	18	/1/23/26	3
27	80	19	/1/23/27	3
28	80	20	/1/23/28	3
29	80	21	/1/23/29	3
30	80	22	/1/23/30	3
31	80	23	/1/3/21/31	4
32	80	24	/1/3/21/32	4
33	70	2	/1/3/21/33	4
34	70	3	/1/3/21/34	4
35	30	4	/1/35	2
36	30	5	/1/36	2
37	80	25	/1/35/37	3
38	80	26	/1/35/38	3
39	80	27	/1/35/39	3
40	80	28	/1/35/40	3
41	80	29	/1/35/41	3
42	80	30	/1/35/42	3
43	80	31	/1/35/43	3
44	50	3	/1/3/44	3
45	30	6	/1/45	2
46	30	7	/1/46	2
47	30	8	/1/47	2
48	30	9	/1/48	2
49	30	11	/1/49	2
50	30	12	/1/50	2
51	30	13	/1/51	2
52	30	14	/1/52	2
53	30	15	/1/53	2
54	30	16	/1/54	2
55	30	17	/1/55	2
56	30	18	/1/56	2
57	30	19	/1/57	2
58	30	20	/1/58	2
59	30	21	/1/59	2
60	30	22	/1/60	2
61	30	23	/1/61	2
62	30	24	/1/62	2
63	30	25	/1/63	2
64	30	26	/1/64	2
65	30	27	/1/65	2
66	30	28	/1/66	2
67	30	29	/1/67	2
68	30	30	/1/68	2
69	30	31	/1/69	2
70	30	32	/1/70	2
71	30	33	/1/71	2
72	30	34	/1/72	2
73	30	35	/1/73	2
74	30	36	/1/74	2
75	30	37	/1/75	2
76	30	38	/1/76	2
77	30	39	/1/77	2
78	30	40	/1/78	2
79	30	41	/1/79	2
80	30	42	/1/80	2
81	30	43	/1/81	2
82	30	44	/1/82	2
83	30	45	/1/83	2
84	30	46	/1/84	2
85	30	47	/1/85	2
86	30	48	/1/86	2
87	30	49	/1/87	2
88	30	50	/1/88	2
89	30	51	/1/89	2
90	30	52	/1/90	2
91	30	53	/1/91	2
92	30	54	/1/92	2
93	30	55	/1/93	2
94	30	56	/1/94	2
95	30	57	/1/95	2
96	30	58	/1/96	2
97	30	59	/1/97	2
98	30	60	/1/98	2
99	30	61	/1/99	2
100	30	62	/1/100	2
101	30	63	/1/101	2
102	30	64	/1/102	2
103	30	65	/1/103	2
104	30	66	/1/104	2
105	30	67	/1/105	2
106	30	68	/1/106	2
107	30	69	/1/107	2
108	30	70	/1/108	2
109	30	71	/1/109	2
110	30	72	/1/110	2
111	30	73	/1/111	2
112	30	74	/1/112	2
113	30	75	/1/113	2
114	30	76	/1/114	2
115	30	77	/1/115	2
116	30	78	/1/116	2
117	30	79	/1/117	2
118	30	80	/1/118	2
119	30	81	/1/119	2
120	30	82	/1/120	2
121	30	83	/1/121	2
122	30	84	/1/122	2
123	30	85	/1/123	2
124	80	32	/1/3/44/124	4
125	80	33	/1/3/44/125	4
126	80	34	/1/3/44/126	4
127	80	35	/1/3/44/127	4
128	80	36	/1/3/44/128	4
129	70	4	/1/3/44/129	4
130	70	5	/1/3/44/130	4
131	70	6	/1/3/44/131	4
132	70	7	/1/3/44/132	4
133	70	8	/1/3/44/133	4
134	70	9	/1/3/44/134	4
135	70	10	/1/3/44/135	4
136	70	11	/1/3/44/136	4
137	70	12	/1/3/44/137	4
138	70	13	/1/3/44/138	4
139	70	14	/1/3/44/139	4
140	70	15	/1/3/44/140	4
141	70	16	/1/3/44/141	4
142	70	17	/1/3/44/142	4
143	70	18	/1/3/44/143	4
144	70	19	/1/3/44/144	4
145	70	20	/1/3/44/145	4
146	70	21	/1/3/44/146	4
147	70	22	/1/3/44/147	4
148	70	23	/1/3/44/148	4
149	70	24	/1/3/44/149	4
150	70	25	/1/3/44/150	4
151	70	26	/1/3/44/151	4
152	70	27	/1/3/44/152	4
153	70	28	/1/3/44/153	4
154	70	29	/1/3/44/154	4
155	70	30	/1/3/44/155	4
156	70	31	/1/3/44/156	4
157	70	32	/1/3/44/157	4
158	70	33	/1/3/44/158	4
159	70	34	/1/3/44/159	4
160	70	35	/1/3/44/160	4
161	70	36	/1/3/44/161	4
162	70	37	/1/3/44/162	4
163	70	38	/1/3/44/163	4
164	70	39	/1/3/44/164	4
165	70	40	/1/3/44/165	4
166	70	41	/1/3/44/166	4
167	70	42	/1/3/44/167	4
168	70	43	/1/3/44/168	4
169	70	44	/1/3/44/169	4
170	70	45	/1/3/44/170	4
171	70	46	/1/3/44/171	4
172	70	47	/1/3/44/172	4
173	70	48	/1/3/44/173	4
174	70	49	/1/3/44/174	4
175	70	50	/1/3/44/175	4
176	70	51	/1/3/44/176	4
177	70	52	/1/3/44/177	4
178	70	53	/1/3/44/178	4
179	70	54	/1/3/44/179	4
180	70	55	/1/3/44/180	4
181	70	56	/1/3/44/181	4
182	70	57	/1/3/44/182	4
183	70	58	/1/3/44/183	4
184	70	59	/1/3/44/184	4
185	70	60	/1/3/44/185	4
186	70	61	/1/3/44/186	4
187	70	62	/1/3/44/187	4
