id	course	module	instance	section	idnumber	added	score	indent	visible	visibleoncoursepage	visibleold	groupmode	groupingid	completion	completiongradeitemnumber	completionview	completionexpected	showdescription	availability	deletioninprogress
1	2	9	1	1	NULL	1496077445	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
2	2	9	2	2		1496186387	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
3	2	4	1	1		1496186676	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
4	3	9	3	6	NULL	1428595796	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
5	3	1	1	6		1429891316	0	0	0	1	0	0	0	2	NULL	1	0	0	NULL	0
6	3	17	1	6		1431189215	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
7	3	12	1	6	NULL	1430493587	0	0	0	1	0	0	0	1	NULL	0	0	0	NULL	0
8	3	17	2	7		1428938793	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
9	3	17	3	7		1429229299	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
10	3	20	1	7		1429235362	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
11	3	17	4	7		1429229299	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
12	3	9	4	7		1428603101	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
13	3	12	2	7	NULL	1430354593	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
14	3	17	5	8		1428938860	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
15	3	17	6	8		1428938697	0	0	0	1	0	0	0	0	NULL	0	0	0	NULL	0
16	3	9	5	8		1428603073	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
17	3	1	2	8		1430328759	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
18	3	1	3	8		1431104433	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
19	3	8	1	8		1432144506	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
20	3	9	6	8		1432596262	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
