id	quiz	userid	attempt	uniqueid	layout	currentpage	preview	state	timestart	timefinish	timemodified	timemodifiedoffline	timecheckstate	sumgrades
1	1	77	1	1	1,2,3,4,5,6,7,8,9,0	0	0	inprogress	1430575511	0	1430575511	0	0	NULL
2	1	68	1	2	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430594198	1430594745	1430594745	0	0	10.00000
3	1	74	1	3	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430588632	1430590152	1430590152	0	0	8.05556
4	1	46	1	4	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430582322	1430621496	1430621496	0	0	6.38889
5	1	20	1	5	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430575498	1430594271	1430594271	0	0	5.22222
6	1	40	1	6	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430742368	1430780795	1430780795	0	0	3.44444
7	1	33	1	7	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430596531	1430597628	1430597628	0	0	9.88889
8	1	53	1	8	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430615820	1430618742	1430618742	0	0	8.11111
9	1	50	1	9	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430596690	1430597934	1430597934	0	0	6.00000
10	1	81	1	10	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430617065	1430619008	1430619008	0	0	7.72222
11	1	43	1	11	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430598301	1430599007	1430599007	0	0	9.55556
12	1	79	1	12	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430599129	1430599308	1430599308	0	0	8.94444
13	1	78	1	13	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430831094	1430833355	1430833355	0	0	8.66667
14	1	48	1	14	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430618381	1430619644	1430619644	0	0	6.00000
15	1	31	1	15	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430605984	1430606552	1430606552	0	0	8.66667
16	1	26	1	16	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430597504	1430607165	1430607165	0	0	8.66667
17	1	21	1	17	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430608875	1430620919	1430620919	0	0	7.11111
18	1	76	1	18	1,2,3,4,5,6,7,8,9,0	0	0	inprogress	1430615932	0	1430615932	0	0	NULL
19	1	69	1	19	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430615423	1430616129	1430616129	0	0	7.83333
20	1	71	1	20	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430619196	1430621072	1430621072	0	0	7.22222
21	1	35	1	21	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430596380	1430617030	1430617030	0	0	5.05556
22	1	72	1	22	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430615883	1430617066	1430617066	0	0	4.44444
23	1	70	1	23	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430617391	1430617728	1430617728	0	0	7.88889
24	1	45	1	24	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430621083	1430621300	1430621300	0	0	7.55556
25	1	35	2	25	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430617463	1430617938	1430617938	0	0	7.72222
26	1	60	1	26	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430839295	1430842007	1430842007	0	0	8.66667
27	1	34	1	27	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430617194	1430621729	1430621729	0	0	0.00000
28	1	46	2	28	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430622131	1430622452	1430622452	0	0	8.00000
29	1	23	1	29	1,2,3,4,5,6,7,8,9,0	0	0	inprogress	1430665167	0	1430665167	0	0	NULL
30	1	19	1	30	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430857904	1430860219	1430860219	0	0	6.44444
31	1	64	1	31	1,2,3,4,5,6,7,8,9,0	0	0	finished	1430763820	1430768235	1430768235	0	0	8.00000
