id	quiz	userid	grade	timemodified
1	1	41	9.83333	1430852948
2	1	19	6.44444	1430860219
3	1	75	9.66667	1430911422
4	1	39	6.27778	1430911928
5	1	62	5.38889	1430940377
6	1	74	8.05556	1430590152
7	1	20	5.22222	1430594271
8	1	68	10.00000	1430594745
9	1	33	9.88889	1430597628
10	1	50	6.00000	1430597934
11	1	43	9.55556	1430599007
12	1	31	8.66667	1430606552
13	1	26	8.66667	1430607168
14	1	69	7.83333	1430616129
15	1	70	7.88889	1430617728
16	1	35	7.72222	1430617938
17	1	53	8.11111	1430618742
18	1	81	7.72222	1430619008
19	1	48	6.00000	1430619644
20	1	21	7.11111	1430620919
21	1	71	7.22222	1430621072
22	1	45	7.55556	1430621301
23	1	46	8.00000	1430622452
24	1	64	8.00000	1430768236
25	1	28	4.61111	1430776538
26	1	40	3.44444	1430780795
27	1	78	8.66667	1430833355
28	1	60	8.66667	1430842007
29	1	30	5.38889	1430843278
30	1	42	7.83333	1430943731
31	1	34	8.38889	1430963581
32	1	27	3.83333	1430979238
33	1	58	10.00000	1430998281
34	1	67	10.00000	1431026224
35	1	55	4.66667	1431125289
36	1	72	5.94444	1434649431
37	1	57	4.33333	1434924862
38	1	79	8.94444	1435290436
39	2	71	10.00000	1434412563
40	2	57	7.00000	1434061881
41	2	35	9.00000	1434062472
42	2	56	10.00000	1434063080
43	2	21	9.00000	1434145544
44	2	55	9.00000	1434146496
45	2	70	7.00000	1434399338
46	2	81	8.00000	1434402459
47	2	53	8.00000	1434468483
48	2	31	5.00000	1434560403
49	2	67	10.00000	1434567213
50	2	58	10.00000	1434570045
51	2	41	10.00000	1434570153
52	2	69	7.00000	1434579949
53	2	85	10.00000	1434636493
54	2	74	6.00000	1434647119
55	2	33	6.00000	1434660017
56	2	64	7.00000	1434740289
57	2	72	8.00000	1434784459
58	2	49	7.00000	1434899942
59	2	60	8.00000	1435074892
60	2	45	10.00000	1435087317
61	2	37	8.00000	1435175077
62	2	46	10.00000	1435189761
63	2	43	9.00000	1435255709
64	2	75	2.00000	1435272713
65	2	79	10.00000	1435286877
66	2	34	7.00000	1435364705
